"Age","kmDriven","Transmission","Owner","FuelType","AskPrice","LogAskPrice","isLuxury","kmPerYear","Brand_model"
10,41453,2,2,3,220000,12.3013828253345,0,4145.3,94
3,33000,2,1,3,545000,13.2085410736454,0,11000,323
6,37000,1,2,3,460000,13.0389817684653,0,6166.66666666667,193
9,65000,2,1,3,375000,12.8346813049525,0,7222.22222222222,380
2,36000,1,1,3,690000,13.4444468765734,0,18000,101
8,130000,1,2,3,1399999,14.1519820802995,0,16250,356
11,1e+05,2,2,3,160000,11.982929094216,0,9090.90909090909,186
8,93000,1,1,1,2100000,14.5574479026937,1,11625,26
5,48000,2,1,1,1065000,13.8784853571257,0,9600,90
8,63000,1,2,1,2290000,14.6440623755304,1,7875,29
9,85000,2,2,1,560000,13.2356920627113,0,9444.44444444445,104
7,70000,1,1,1,750000,13.5278284855125,0,10000,319
11,59000,2,2,3,425000,12.9598444479066,0,5363.63636363636,118
9,72000,1,2,1,390000,12.8739020181058,0,8000,172
12,74000,1,2,1,1295000,14.0740212531158,1,6166.66666666667,247
6,78127,2,1,1,785000,13.5734389967645,0,13021.1666666667,74
4,26000,2,1,3,775000,13.5606183083355,0,6500,196
7,65663,1,2,3,325000,12.6915804613119,0,9380.42857142857,306
6,24000,1,1,3,4199000,15.2503569596663,1,4000,20
9,149728.625,1,2,1,1250000,14.0386541092785,0,16636.5138888889,363
4,79000,2,2,3,725000,13.4939269338368,0,19750,380
6,31000,2,1,3,549000,13.2158537204917,0,5166.66666666667,190
5,55000,1,1,1,1299999,14.0778740532007,0,11000,90
9,89000,2,2,1,431000,12.9738633690859,0,9888.88888888889,221
2,37000,1,1,1,1820000,14.414347059053,0,18500,88
8,56000,2,1,3,275000,12.5245263766487,0,7000,189
9,75000,1,1,1,2450000,14.7115985825209,1,8333.33333333333,261
10,32001,2,2,3,295000,12.594730635322,0,3200.1,72
0,22000,2,1,3,260000,12.4684369099977,0,Inf,219
14,45000,2,2,3,150000,11.9183905730784,0,3214.28571428571,104
3,60000,1,1,3,3200000,14.97866136777,0,20000,363
3,41000,1,1,3,1390000,14.1448143051069,0,13666.6666666667,135
9,51000,2,2,3,499999,13.1223613774023,0,5666.66666666667,380
3,28000,1,2,3,750000,13.5278284855125,0,9333.33333333333,364
5,38000,1,1,1,4450000,15.3084146541424,1,7600,20
5,64800,1,1,1,799000,13.5911162247484,0,12960,319
2,17300,1,1,3,1995000,14.5061546083061,0,8650,130
